osm_id,longitude,latitude
node/3836988221,77.6362253,12.9803245
node/3836988222,77.6359671,12.9803665
node/3836988223,77.6357304,12.9804053
node/3836988244,77.6366898,12.9786536
node/3836994016,77.6369805,12.9802011
node/3836994017,77.6367656,12.9802367
node/3836995403,77.6393601,12.9786987
node/3836995404,77.6393396,12.9790247
node/3836995405,77.6393535,12.9792166
node/3836995406,77.6393535,12.979422
node/3836995407,77.6393291,12.9796385
node/3836995408,77.6393158,12.9797525
node/3836995410,77.6382607,12.9822699
node/3836999907,77.6361756,12.9785829
node/3836999908,77.6362565,12.9789703
node/3836999909,77.6363856,12.9796378
node/3837000791,77.6388141,12.9801654
node/3837000792,77.6387931,12.9806689
node/3837000793,77.6387894,12.9810214
node/3837000796,77.6387098,12.9820092
node/3837000896,77.6376955,12.9783795
node/3837000898,77.6379356,12.9790061
node/3837000899,77.6379318,12.9792338
node/3837000900,77.6379141,12.9795527
node/3837005108,77.6370878,12.9806272
node/3837005110,77.6373267,12.9813399
node/3837007683,77.6371378,12.9801922
node/3837007689,77.6356403,12.9804197
node/3837007690,77.6370336,12.9804289
node/3837007691,77.635432,12.9804536
node/3837007692,77.6372108,12.9804442
node/3837007693,77.6352121,12.9804893
node/3837007694,77.6350186,12.9805208
node/3837007695,77.6366166,12.9805143
node/3837007696,77.6348403,12.9805498
node/3837007698,77.6363185,12.9806097
node/3837007699,77.6360787,12.9806524
node/3837007700,77.6357743,12.9807113
node/3837007701,77.6352552,12.9807357
node/3837007702,77.6366708,12.9807763
node/3837007703,77.6348882,12.9807926
node/3837007704,77.6371587,12.9808546
node/3837007705,77.6352843,12.9809368
node/3837007706,77.6363351,12.9809795
node/3837007707,77.6372129,12.9810018
node/3837007708,77.6361287,12.981014
node/3837007709,77.6367448,12.9810455
node/3837007710,77.6349247,12.9810496
node/3837007711,77.6358556,12.9810628
node/3837007712,77.6353302,12.9811156
node/3837007714,77.6372546,12.9811522
node/3837007717,77.6353719,12.9812903
node/3837007718,77.6368007,12.9812921
node/3837007720,77.634982,12.981336
node/3837007721,77.6363506,12.9813657
node/3837007722,77.6359626,12.9814292
node/3837007723,77.6356749,12.9814762
node/3837007724,77.6354669,12.9815103
node/3837007725,77.6350602,12.9815768
node/3837007726,77.6374147,12.9816835
node/3837007727,77.6375913,12.9818958
node/3837007728,77.6374805,12.9819595
node/3837007731,77.6348628,12.9825701
node/3837007732,77.6362254,12.982669
node/3837007733,77.6356166,12.9827186
node/3837007734,77.6367257,12.9827584
node/3837007735,77.6372956,12.982917
node/3837008457,77.6349594,12.9781385
node/3837008458,77.6351479,12.9782844
node/3837008459,77.6348069,12.9782803
node/3837008462,77.6349094,12.9788475
node/3837008463,77.6349515,12.9790741
node/3837008465,77.6350247,12.9795022
