osm_id,lit,highway,geometry_type,geometry
way/230401366,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6642619, 12.8597827], [77.6643308, 12.8597756], [77.6643873, 12.8597755], [77.6644467, 12.8597809], [77.6645146, 12.8597943], [77.6645821, 12.8598156], [77.6646193, 12.8598312], [77.6646774, 12.8598615], [77.6647215, 12.8598903], [77.6647628, 12.8599226], [77.6648211, 12.8599798], [77.6648575, 12.8600248], [77.6648989, 12.8600902], [77.6649363, 12.8601734], [77.6649531, 12.8602289], [77.6649664, 12.860301], [77.6649703, 12.8603833], [77.6649663, 12.8604393], [77.6649558, 12.8604994], [77.6649362, 12.8605663], [77.6649056, 12.8606367], [77.6648757, 12.8606881], [77.6648283, 12.8607515], [77.6647819, 12.8607997], [77.6647182, 12.8608515], [77.6646421, 12.8608973], [77.6645734, 12.8609271], [77.6645071, 12.8609471], [77.6644521, 12.8609578], [77.6643897, 12.8609638], [77.664314, 12.8609628], [77.6642378, 12.8609524], [77.6641746, 12.8609362], [77.6640985, 12.8609069], [77.6640343, 12.8608724], [77.6639584, 12.8608171], [77.6639223, 12.8607837], [77.663877, 12.8607326], [77.6638415, 12.8606826], [77.663805, 12.8606157], [77.6637823, 12.8605597], [77.6637631, 12.8604909], [77.6637537, 12.8604324], [77.6637504, 12.8603786], [77.6637516, 12.8603321], [77.6637586, 12.8602724], [77.6637732, 12.8602084], [77.6637935, 12.8601499], [77.6638223, 12.8600895], [77.6638632, 12.8600251], [77.6639171, 12.8599611], [77.6639676, 12.8599146], [77.6640427, 12.859862], [77.6640862, 12.8598384], [77.6641686, 12.8598051], [77.6642619, 12.8597827]]]}"
way/238921394,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5861255, 13.0961235], [77.5860594, 13.0961243], [77.5860169, 13.0954324], [77.5860102, 13.0953501], [77.5859995, 13.0951607], [77.5864622, 13.0951451], [77.5864448, 13.0953619], [77.5863978, 13.0961822], [77.5861262, 13.0961769], [77.5861255, 13.0961235]]]}"
way/283892334,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5539167, 13.0147065], [77.5538927, 13.0147049], [77.5538813, 13.0148653], [77.5537663, 13.0148575], [77.553787, 13.0145657], [77.5539224, 13.0145748], [77.5539356, 13.0142731], [77.5537011, 13.0142634], [77.5537142, 13.0139618], [77.5539457, 13.0139622], [77.5539456, 13.0140197], [77.5539456, 13.0140386], [77.5539749, 13.0140387], [77.5541111, 13.0140389], [77.5541467, 13.014039], [77.5541468, 13.013982], [77.5542096, 13.0139822], [77.5541927, 13.0143728], [77.5541545, 13.0143713], [77.5541403, 13.0146985], [77.5543062, 13.0147038], [77.554301, 13.0147955], [77.5541821, 13.0147906], [77.5541488, 13.0147881], [77.5541209, 13.0154293], [77.55407, 13.0154283], [77.5538857, 13.0154196], [77.5539167, 13.0147065]]]}"
way/293158467,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.596691, 12.9944805], [77.5968188, 12.994447], [77.5970634, 12.9943606], [77.5986218, 12.9937882], [77.5994177, 12.9934986], [77.5997318, 12.9933724], [77.6003456, 12.9931014], [77.6010193, 12.9928468], [77.6013543, 12.9927389], [77.6016765, 12.9926562], [77.6016984, 12.9927094], [77.6013856, 12.9927971], [77.6011501, 12.9928734], [77.6008406, 12.9929858], [77.6003246, 12.9932068], [77.5985868, 12.9939297], [77.5985745, 12.9938878], [77.5979523, 12.9941154], [77.5975352, 12.9942608], [77.5969232, 12.994464], [77.5967011, 12.9945053], [77.596691, 12.9944805]]]}"
way/293158468,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6016529, 12.9924442], [77.6016661, 12.9924967], [77.6013064, 12.9926089], [77.6009109, 12.9927327], [77.6002396, 12.9930037], [77.5996138, 12.9932606], [77.5969742, 12.9942628], [77.5966169, 12.9943983], [77.596593, 12.9943493], [77.5973841, 12.9940362], [77.5973559, 12.9939868], [77.5974855, 12.9939311], [77.5975128, 12.994], [77.5979896, 12.9938206], [77.5986995, 12.9935535], [77.5987092, 12.9935775], [77.5993289, 12.993341], [77.5993244, 12.9933297], [77.5996368, 12.9931839], [77.5999542, 12.9930449], [77.6002749, 12.9929134], [77.6005988, 12.9927894], [77.6009256, 12.992673], [77.6011666, 12.9925926], [77.6014091, 12.9925163], [77.6016529, 12.9924442]]]}"
way/313927907,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.637587, 12.9640071], [77.6376431, 12.9640577], [77.6375755, 12.9641288], [77.6375195, 12.9640782], [77.637587, 12.9640071]]]}"
way/323961206,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5963305, 12.9814009], [77.5963211, 12.9813746], [77.596263, 12.9812115], [77.5963444, 12.981184], [77.59631, 12.9810875], [77.5967572, 12.9809361], [77.5967733, 12.9809813], [77.5967916, 12.9810327], [77.5976379, 12.9807462], [77.5978209, 12.9804125], [77.5978731, 12.9804291], [77.5979188, 12.9804478], [77.5978973, 12.9805132], [77.5979373, 12.9806427], [77.5983304, 12.9805119], [77.5983673, 12.9806155], [77.5983979, 12.9807012], [77.5973114, 12.9810689], [77.5963305, 12.9814009]]]}"
way/323961211,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5843313, 12.9747037], [77.5843531, 12.9746693], [77.5832911, 12.9740325], [77.5832685, 12.9740683], [77.5832155, 12.9741508], [77.5825658, 12.9737528], [77.5826281, 12.9736562], [77.5827218, 12.973511], [77.5828148, 12.973568], [77.5829139, 12.9734144], [77.5831858, 12.973581], [77.5831041, 12.9737076], [77.5845667, 12.9746038], [77.5847085, 12.9743841], [77.5850187, 12.9745742], [77.5847084, 12.9750552], [77.5842761, 12.9747903], [77.5843313, 12.9747037]]]}"
way/323961213,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5909634, 12.9778814], [77.5910694, 12.9777674], [77.591089, 12.9777923], [77.5911555, 12.9777427], [77.5913414, 12.9779531], [77.5911964, 12.9780571], [77.5919535, 12.9788976], [77.5920637, 12.9787951], [77.5922584, 12.9790262], [77.5923163, 12.9790853], [77.5923364, 12.9791058], [77.5923827, 12.9791531], [77.592476, 12.9792483], [77.5926114, 12.9793864], [77.592548, 12.9794454], [77.5924126, 12.9793073], [77.5923193, 12.9792121], [77.5922836, 12.9791756], [77.5922285, 12.9791194], [77.592195, 12.9790852], [77.5920765, 12.9789319], [77.5920298, 12.9789754], [77.5918925, 12.9791037], [77.5918418, 12.9791491], [77.5925636, 12.9799001], [77.5924921, 12.9799627], [77.5924261, 12.9800255], [77.5916471, 12.9791932], [77.5918248, 12.9790342], [77.5910198, 12.9782082], [77.5908241, 12.9783569], [77.5903467, 12.9778586], [77.5904863, 12.9777316], [77.5907894, 12.9780425], [77.5908256, 12.978009], [77.5909634, 12.9778814]]]}"
way/323961214,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5742932, 12.9599574], [77.5742854, 12.9599084], [77.5746144, 12.9598586], [77.574695, 12.9603648], [77.5747528, 12.9603561], [77.5747644, 12.9604292], [77.5750149, 12.9603905], [77.5750523, 12.9604776], [77.5751205, 12.9606476], [77.5749967, 12.9606948], [77.5749285, 12.9605247], [77.5747794, 12.9605459], [77.5748975, 12.9613358], [77.5750655, 12.9613102], [77.5750865, 12.9613551], [77.575116, 12.9614212], [77.5754084, 12.9614254], [77.5755366, 12.9616003], [77.5757175, 12.9618334], [77.5756755, 12.9618644], [77.5756203, 12.9619051], [77.5755817, 12.9618554], [77.5755715, 12.9618205], [77.5755549, 12.9617852], [77.5755316, 12.961767], [77.5755089, 12.9617452], [77.5754898, 12.9617202], [77.5754733, 12.9616887], [77.5754627, 12.9616548], [77.5754278, 12.9616032], [77.5752526, 12.9616016], [77.5753704, 12.9618345], [77.5752515, 12.9618916], [77.5752365, 12.9618619], [77.5752211, 12.9618693], [77.5751461, 12.9619062], [77.5751008, 12.9618186], [77.5747445, 12.9618633], [77.5746059, 12.9608121], [77.5744622, 12.9608648], [77.5743799, 12.9606513], [77.5744409, 12.960629], [77.5743875, 12.9604906], [77.5744098, 12.9604426], [77.57433, 12.9602361], [77.5743156, 12.9602419], [77.5742179, 12.9602765], [77.5741215, 12.9600183], [77.5742932, 12.9599574]]]}"
