osm_id,road_type,foot_access,surface,width,lit,sidewalk,crossing_count,street_lamp_count,lit_feature_count,crossing_density,lamp_density,lit_feature_density,road_type_score,surface_score,foot_access_score,explicit_lit_score,width_score,sidewalk_known,sidewalk_positive,pedestrian_infrastructure_score,crossing_score,lighting_score,pseudo_safety_score,safety_label
way/1344827113,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1344827114,footway,,asphalt,,,,1,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1344827115,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827116,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827117,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827118,footway,,asphalt,,,,2,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1344827119,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827120,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827121,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827122,footway,,asphalt,,,,2,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1344827123,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827124,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1344827125,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1344827126,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827127,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344827128,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1344827130,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1344827131,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1344827132,footway,,paving_stones,,,,1,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1344942753,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344942754,footway,,paving_stones,,,,1,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1344942755,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344942756,footway,,paving_stones,,,,1,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1344942757,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344942758,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1344942759,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1344942760,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345695633,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345695634,footway,,,,,,0,5,2,0.0,1.0,1.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.925,57.125,high
way/1345695635,footway,,asphalt,,,,1,4,0,1.0,1.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.625,79.625,high
way/1345695636,footway,,,,,,0,0,1,0.0,0.0,1.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.375,43.375,high
way/1345699518,footway,,,,,,0,1,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1345699519,footway,,,,,,0,1,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1345699520,footway,,,,,,1,0,1,1.0,0.0,1.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.375,68.37500000000001,high
way/1345699521,footway,,,,,,0,1,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1345699522,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345699523,footway,,,,,,0,3,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1345699524,footway,,,,,,1,0,1,1.0,0.0,1.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.375,68.37500000000001,high
way/1345699525,footway,,,,,,0,1,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1345699526,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345699528,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699529,footway,,,,,,1,1,0,1.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.625,74.62500000000001,high
way/1345699530,footway,,,,,,0,1,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
