osm_id,road_type,foot_access,sidewalk,lit,surface,width,geometry_type,geometry
way/372150309,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5911686, 12.9793909], [77.5911761, 12.9793842], [77.591192, 12.9793674], [77.5911994, 12.9793603], [77.5912281, 12.9793329], [77.5912519, 12.9793566], [77.591264, 12.9793451], [77.5912754, 12.9793342], [77.5912969, 12.9793556], [77.5913045, 12.9793483], [77.591311, 12.9793421], [77.59132, 12.9793335], [77.591339, 12.9793524], [77.5913467, 12.9793451], [77.5913536, 12.9793386], [77.5913601, 12.9793324], [77.5913796, 12.9793518], [77.5913855, 12.9793467], [77.5913899, 12.9793429], [77.5913947, 12.9793388], [77.5914004, 12.979334], [77.5914062, 12.9793291], [77.5914422, 12.9793712], [77.5914547, 12.9793624], [77.5914769, 12.9793898], [77.5914779, 12.9794222], [77.5914729, 12.9794585], [77.5914628, 12.9794781], [77.5914437, 12.9795016], [77.5914316, 12.9795114], [77.5914095, 12.9795251], [77.5913823, 12.9795349], [77.5913612, 12.9795369], [77.591338, 12.9795369], [77.5913199, 12.979532], [77.5912968, 12.9795202], [77.5911686, 12.9793909]]]}"
way/378505145,footway,,,,concrete,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6104979, 12.9735358], [77.6104819, 12.9735249], [77.6104747, 12.9735141], [77.6104777, 12.9735011], [77.6104871, 12.9734925], [77.6104985, 12.9734901], [77.6105254, 12.9734947], [77.6107159, 12.9735532], [77.6107729, 12.9735622], [77.6107864, 12.9735552], [77.6108357, 12.9735207], [77.6108732, 12.9735025], [77.6108945, 12.9735071], [77.6109137, 12.9735475], [77.6109173, 12.9735631], [77.6109302, 12.9736177], [77.6109314, 12.9736271], [77.6109407, 12.9737257], [77.6109152, 12.9736992], [77.6108414, 12.973658], [77.6104979, 12.9735358]]]}"
way/425050393,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5347183, 12.9335901], [77.5347098, 12.9337889], [77.5344619, 12.9337865], [77.5344748, 12.9336953], [77.5345171, 12.9336936], [77.5345176, 12.9336818], [77.5345181, 12.9336685], [77.5344719, 12.9336661], [77.5344766, 12.9336086], [77.5345223, 12.9336096], [77.534522, 12.9335973], [77.5345218, 12.9335862], [77.5344798, 12.9335839], [77.5344964, 12.9335316], [77.534575, 12.9335366], [77.5345732, 12.933584], [77.5346788, 12.9335884], [77.5346842, 12.9335664], [77.5347132, 12.9335672], [77.5347183, 12.9335901]]]}"
way/515225942,footway,,,yes,dirt,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5724274, 13.1037827], [77.5723625, 13.1031662], [77.572945, 13.1031735], [77.5729296, 13.1037287], [77.5724274, 13.1037827]]]}"
way/518601916,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.7286189, 12.9698971], [77.7284868, 12.9699027], [77.728457, 12.9699299], [77.7284601, 12.9698381], [77.7284599, 12.9698146], [77.7284808, 12.9698151], [77.7284834, 12.9697031], [77.7283674, 12.9697005], [77.7283694, 12.969598], [77.728588, 12.9696022], [77.7285859, 12.969705], [77.7286227, 12.9697057], [77.7286221, 12.9697351], [77.7286189, 12.9698971]]]}"
way/574103557,pedestrian,,,,paving_stones,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6013028, 12.973195], [77.6013005, 12.9732085], [77.6012889, 12.9732155], [77.601282, 12.9732141], [77.6012708, 12.973208], [77.601214, 12.9731733], [77.6011606, 12.9731365], [77.6011278, 12.9731185], [77.6011229, 12.9731131], [77.6011194, 12.9731046], [77.6011196, 12.9730869], [77.6011215, 12.9730793], [77.6011443, 12.9730676], [77.6011702, 12.9730523], [77.6012092, 12.9730276], [77.6012326, 12.9730006], [77.6012544, 12.9729648], [77.6012709, 12.9728916], [77.6012766, 12.9728769], [77.6012867, 12.9728692], [77.6013004, 12.9728664], [77.6013139, 12.9728696], [77.601341, 12.9728927], [77.6013647, 12.9729099], [77.6014127, 12.9729451], [77.6014203, 12.9729537], [77.6014236, 12.972962], [77.6014235, 12.9729675], [77.6014221, 12.9729746], [77.6014183, 12.9729816], [77.6014054, 12.9729949], [77.6013802, 12.9730149], [77.601354, 12.9730442], [77.601338, 12.9730651], [77.6013225, 12.9730944], [77.6013102, 12.973134], [77.6013032, 12.9731689], [77.6013028, 12.973195]]]}"
way/581289536,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.4984542, 12.9225939], [77.4984612, 12.9226848], [77.4985436, 12.9227638], [77.4986336, 12.9227744], [77.4985892, 12.9228528], [77.498541, 12.9228879], [77.4983365, 12.9226748], [77.4984542, 12.9225939]]]}"
way/581289538,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.4998182, 12.9223537], [77.4996051, 12.9221483], [77.4996408, 12.9221014], [77.499717, 12.9220686], [77.4997852, 12.9220764], [77.4998573, 12.9221139], [77.4999705, 12.9222121], [77.4998932, 12.922284], [77.4998182, 12.9223537]]]}"
way/636462563,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5732519, 12.9757508], [77.573253, 12.9757639], [77.573261, 12.9758557], [77.5730481, 12.9758724], [77.5730488, 12.975889], [77.5730444, 12.9758891], [77.5730219, 12.9758894], [77.5730096, 12.9758896], [77.57299, 12.97589], [77.5729384, 12.9758908], [77.5729301, 12.9758909], [77.5729218, 12.9758911], [77.5729123, 12.9758912], [77.5729025, 12.9758914], [77.5728711, 12.9758919], [77.5728674, 12.975892], [77.5728673, 12.9758864], [77.5718951, 12.9759625], [77.5718902, 12.9759031], [77.5718865, 12.975858], [77.5732519, 12.9757508]]]}"
way/690851283,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.7017179, 12.9903889], [77.7017821, 12.9903764], [77.7017945, 12.9903739], [77.7018507, 12.9906456], [77.7018397, 12.9906477], [77.701774, 12.9906606], [77.7017619, 12.9906016], [77.7017342, 12.9904676], [77.7017179, 12.9903889]]]}"
way/690851286,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.7033402, 12.9910063], [77.7033332, 12.9909329], [77.7033229, 12.9908525], [77.7034591, 12.9908314], [77.7034717, 12.9908503], [77.7034959, 12.990981], [77.703421, 12.9909932], [77.7033402, 12.9910063]]]}"
way/691137063,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5526112, 13.0088606], [77.5526412, 13.0088836], [77.5526278, 13.0088983], [77.552615, 13.0089123], [77.5525948, 13.0089454], [77.5525814, 13.0089816], [77.5525759, 13.0090122], [77.5525753, 13.0090432], [77.5525795, 13.009074], [77.5525337, 13.0090727], [77.5525308, 13.0090357], [77.5525339, 13.0089987], [77.5525429, 13.0089626], [77.5525594, 13.0089249], [77.5525824, 13.0088906], [77.5525944, 13.0088781], [77.5526112, 13.0088606]]]}"
way/752960707,footway,,,,concrete,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.571893, 12.9901505], [77.5719183, 12.9899838], [77.5719391, 12.9899782], [77.5720848, 12.9899393], [77.5721975, 12.9899106], [77.5720594, 12.9900563], [77.5720171, 12.9900931], [77.5719119, 12.9901888], [77.57189, 12.9901881], [77.571893, 12.9901505]]]}"
way/777638980,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5732586, 13.0439427], [77.5732651, 13.0439108], [77.5732805, 13.043882], [77.5733037, 13.0438586], [77.5733327, 13.0438426], [77.5733652, 13.0438352], [77.5733986, 13.0438371], [77.57343, 13.0438481], [77.5734569, 13.0438673], [77.5734772, 13.0438931], [77.5734896, 13.0439256], [77.5734914, 13.0439603], [77.5734824, 13.0439938], [77.5734634, 13.0440232], [77.5734363, 13.0440456], [77.5734034, 13.044059], [77.5733726, 13.0440624], [77.5733419, 13.0440577], [77.5733136, 13.0440452], [77.5732896, 13.044026], [77.5732717, 13.0440013], [77.5732611, 13.0439729], [77.5732586, 13.0439427]]]}"
way/1039668744,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5970622, 12.9913194], [77.5970475, 12.9913115], [77.5970616, 12.9912866], [77.5970909, 12.9913023], [77.5970769, 12.9913273], [77.5970622, 12.9913194]]]}"
way/1039668759,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5807832, 12.9888295], [77.5807407, 12.9887616], [77.580838, 12.9887037], [77.5808806, 12.9887716], [77.5807832, 12.9888295]]]}"
way/1062372932,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5840426, 13.0035006], [77.5839941, 13.003481], [77.5839046, 13.0034577], [77.5840063, 13.0032796], [77.5840419, 13.0032269], [77.5840426, 13.0035006]]]}"
way/1064890936,footway,,,,paving_stones,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5880068, 12.99285], [77.5882113, 12.9928168], [77.5882682, 12.9928075], [77.5882733, 12.992837], [77.5882785, 12.9928675], [77.5882924, 12.9929487], [77.5881248, 12.9929777], [77.5879759, 12.9930036], [77.5879525, 12.9928671], [77.5877687, 12.9929114], [77.5877654, 12.9928987], [77.5877277, 12.9927504], [77.5878106, 12.9927304], [77.5879299, 12.9927016], [77.587967, 12.9926927], [77.5880068, 12.99285]]]}"
way/1066870624,footway,,,,paving_stones,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6068241, 12.9718838], [77.6068613, 12.9718676], [77.6068753, 12.9718868], [77.6068905, 12.971914], [77.6069655, 12.9720721], [77.6069777, 12.9720977], [77.6070389, 12.9722913], [77.6071657, 12.9727041], [77.6072468, 12.9729331], [77.607223, 12.9729429], [77.6071969, 12.9729256], [77.6071274, 12.9727107], [77.607075, 12.9725691], [77.6069929, 12.9723068], [77.606988, 12.9722965], [77.6068487, 12.9719437], [77.6068241, 12.9718838]]]}"
way/1068852037,footway,,,,asphalt,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5536483, 13.0129134], [77.5535557, 13.0128206], [77.5534758, 13.0127615], [77.5535162, 13.0127245], [77.5535343, 13.0127121], [77.5535537, 13.0126684], [77.553539, 13.0126226], [77.5536818, 13.0126246], [77.5537891, 13.0126128], [77.5537194, 13.0126991], [77.5537125, 13.012724], [77.5537026, 13.0127598], [77.5537013, 13.0129833], [77.5536483, 13.0129134]]]}"
way/1093609910,pedestrian,,,,paving_stones,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5915892, 12.9833736], [77.5916091, 12.9833834], [77.5916346, 12.9833898], [77.5916595, 12.9833848], [77.591678, 12.9833757], [77.5916909, 12.9833717], [77.5916838, 12.9833993], [77.5916662, 12.9834417], [77.5916604, 12.9834358], [77.5915892, 12.9833736]]]}"
way/1095561514,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5600413, 13.0078774], [77.5595659, 13.0078951], [77.5595776, 13.0078313], [77.5600681, 13.0078108], [77.5600413, 13.0078774]]]}"
way/1113077002,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5953531, 12.9817815], [77.5954076, 12.9818559], [77.5950971, 12.9820763], [77.5950852, 12.9820618], [77.5950898, 12.9820584], [77.5950846, 12.9820519], [77.5950803, 12.9820466], [77.5950758, 12.98205], [77.59502, 12.9819755], [77.5950314, 12.9819696], [77.5950005, 12.9819251], [77.5949967, 12.9819192], [77.5949911, 12.9819105], [77.5949945, 12.9819], [77.5950036, 12.9818913], [77.5950629, 12.9818724], [77.5950647, 12.9818778], [77.5950708, 12.9818759], [77.595078, 12.9818737], [77.5950762, 12.9818683], [77.5951963, 12.9818279], [77.5951981, 12.9818331], [77.5952064, 12.9818304], [77.5952137, 12.981828], [77.5952119, 12.9818228], [77.595277, 12.9817994], [77.5952781, 12.9818025], [77.5952802, 12.9818079], [77.5953531, 12.9817815]]]}"
